object_id,title_zh,title_en,time_period,dynasty_id,type,material,description,dimensions,museum_id,location_id,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,image_validated,last_updated,created_at
5933,,"Chariot fitting, one of a pair",1050-900 BCE,22,Metal Arts,Bronze,Bronze,H. 17 1/2 in,2,,https://searchcollection.asianart.org/objects/5074/chariot-fitting-one-of-a-pair?ctx=a4aedaf0b59cc73fc640e5340741615f0c6a49ef&idx=2899,https://searchcollection.asianart.org/internal/media/dispatcher/11836/preview,,The Avery Brundage Collection,B60B352,2026-06-03,1,,
5934,,"Chariot fittings, one of two",1050-900 BCE,3,Metal Arts,Bronze,Bronze,H. 7 1/4 in,2,,https://searchcollection.asianart.org/objects/5082/chariot-fittings-one-of-two?ctx=1b17a0bd0db6bc5e694e5108eeb35e7b49cdecbe&idx=2905,https://searchcollection.asianart.org/internal/media/dispatcher/12040/preview,,The Avery Brundage Collection,B60B609,2026-06-03,1,,
5935,,Dagger-ax (ge),770-256 BCE,4,Arms And Armament,Bronze,Bronze,"H. 9 3/4 in x W. 5 in, H. 24.8 cm x W. 12.7 cm x D. .95 cm",2,,https://searchcollection.asianart.org/objects/5089/daggerax-ge?ctx=1b17a0bd0db6bc5e694e5108eeb35e7b49cdecbe&idx=2911,https://searchcollection.asianart.org/internal/media/dispatcher/12096/preview,,The Avery Brundage Collection,B60B648,2026-06-03,1,,
5936,,Vessel (gong),1550-1644,26,Jade And Stones,Nephrite,Nephrite,"H. 4 3/4 in x W. 3 5/8 in x D. 2 1/2 in, H. 12.4 cm x W. 9.2 cm x D. 6.3 cm",2,,https://searchcollection.asianart.org/objects/5109/vessel-gong?ctx=730174d3537d8548bf07825816c8938e597b1cdf&idx=2917,https://searchcollection.asianart.org/internal/media/dispatcher/15401/preview,,The Avery Brundage Collection,B60J972,2026-06-03,1,,
5937,,Stele of a buddha and two bodhisattvas,532,15,Sculpture,Limestone,Limestone,"H. 30 1/4 in x W. 14 1/4 in x D. 6 in, H. 76.8 cm x W. 36.2 cm x D. 15.24 cm",2,,https://searchcollection.asianart.org/objects/5125/stele-of-a-buddha-and-two-bodhisattvas?ctx=730174d3537d8548bf07825816c8938e597b1cdf&idx=2923,https://searchcollection.asianart.org/internal/media/dispatcher/66092/preview,,The Avery Brundage Collection,B60S73+,2026-06-03,1,,
5938,,Bodhisattva under Bodhi tree,500-550,13,Sculpture,Stone,Stone,"H. 15 3/4 in x W. 9 in x 6 1/2 in, H. 40 cm x W. 22.9 cm x D. 16.5 cm",2,,https://searchcollection.asianart.org/objects/5130/bodhisattva-under-bodhi-tree?ctx=730174d3537d8548bf07825816c8938e597b1cdf&idx=2925,https://searchcollection.asianart.org/internal/media/dispatcher/19235/preview,,The Avery Brundage Collection,B60S82,2026-06-03,1,,
5939,,"Hub cap with pins, one of a pair",600-400 BCE,13,Metal Arts,Bronze,Bronze,"H. 9 in x Diam. 3 1/4 in, H. 22.9 cm x Diam. 8.25 cm",2,,https://searchcollection.asianart.org/objects/5155/hub-cap-with-pins-one-of-a-pair?ctx=8101ddc4984bd466059241b6f6f0ad426d2ea96b&idx=2936,https://searchcollection.asianart.org/internal/media/dispatcher/11423/preview,,The Avery Brundage Collection,B60B12.a-.b,2026-06-03,1,,
5940,,"Hub caps with pins, for scythed chariot",600-400 BCE,13,Metal Arts,Bronze,Bronze,"H. 9 in x Diam. 3 1/4 in, H. 22.9 cm x Diam. 8.25 cm",2,,https://searchcollection.asianart.org/objects/5156/hub-caps-with-pins-for-scythed-chariot?ctx=8101ddc4984bd466059241b6f6f0ad426d2ea96b&idx=2937,https://searchcollection.asianart.org/internal/media/dispatcher/11433/preview,,The Avery Brundage Collection,B60B13.a-.b,2026-06-03,1,,
5941,,Covered ritual vessel (ding),600-400 BCE,13,Metal Arts,Bronze,Bronze,H. 10 1/2 in x W. 10 1/2 in,2,,https://searchcollection.asianart.org/objects/5180/covered-ritual-vessel-ding?ctx=f0349c423d11957be412bb0de68c8d5d390a3ebe&idx=2952,https://searchcollection.asianart.org/internal/media/dispatcher/11556/preview,,The Avery Brundage Collection,B60B63.a-.b,2026-06-03,1,,
5942,,Double vase,1786,27,Metal Arts,Bronze,Bronze,H. 8 1/4 in x W. 6 1/2 in,2,,https://searchcollection.asianart.org/objects/5196/double-vase?ctx=04c4b3fd27a9d2f3411631f8a848e7c9e00c23c5&idx=2966,https://searchcollection.asianart.org/internal/media/dispatcher/11620/preview,,The Avery Brundage Collection,B60B106.a-.b,2026-06-03,1,,
