object_id,title_zh,title_en,time_period,dynasty_id,type,material,description,dimensions,museum_id,location_id,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,image_validated,last_updated,created_at
5561,,Avalokiteshvara (Guanyin),1700-1800,26,Ceramics,Porcelain with white glaze,Ming dynasty (1368-1644); Porcelain with white glaze,H. 7 3/8 in x W. 5 3/8 in x D. 4 1/2 in,2,"Fujian province, China; Fujian province",https://searchcollection.asianart.org/objects/5856/avalokiteshvara-guanyin?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=821,https://searchcollection.asianart.org/internal/media/dispatcher/61877/preview,,The Avery Brundage Collection,B60P36+,2026-06-08,1,,
5562,,Bowl with design of eight cranes flying through clouds,1723-1735,27,Ceramics,Porcelain with overglaze multicolor decoration,"Qing dynasty (1644-1911), Reign of the Yongzheng emperor (1723-1735); Porcelain with overglaze multicolor decoration","H. 2 1/2 in x Diam. 5 7/8 in, H. 6/3 cm x Diam. 15 cm",2,"Jingdezhen, Jiangxi province, China; Jingdezhen, Jiangxi province",https://searchcollection.asianart.org/objects/5909/bowl-with-design-of-eight-cranes-flying-through-clouds?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=824,https://searchcollection.asianart.org/internal/media/dispatcher/21284/preview,,The Avery Brundage Collection,B62P153.a,2026-06-08,1,,
5563,,Jar with a mythical creature (qilin) and boys,1750-1850,27,Ceramics,Porcelain with polychrome decoration,Qing dynasty (1644-1911); Porcelain with polychrome decoration,"H. 9 1/2 in x Diam. 7 3/4 in, H. 24.1 cm x Diam. 19.7 cm",2,"Jiangxi province, China; Jiangxi province",https://searchcollection.asianart.org/objects/5951/jar-with-a-mythical-creature-qilin-and-boys?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=825,https://searchcollection.asianart.org/internal/media/dispatcher/72468/preview,,The Avery Brundage Collection,B66P55,2026-06-08,1,,
5564,,Meditating Lohan,1900s,27,Jade And Stones,Nephrite,Qing dynasty (1644-1911); Nephrite,"H. 5 1/4 in x W. 2 3/4 in x D. 1 3/4 in, H. 13.3 cm x W. 7 cm x D. 4.4 cm",2,China,https://searchcollection.asianart.org/objects/6191/meditating-lohan?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=828,https://searchcollection.asianart.org/internal/media/dispatcher/13502/preview,,The Avery Brundage Collection,B60J1,2026-06-08,1,,
5565,,Openwork perfumer in Hindustan style,1900-1911,27,Jade And Stones,Nephrite and turquoise,Qing dynasty (1644-1911); Nephrite and turquoise,"H. 8 1/2 in x W. 9 1/2 in x D. 5 5/8 in, H. 21.6 cm x W. 24.1 cm x D. 14.3 cm",2,China,https://searchcollection.asianart.org/objects/6192/openwork-perfumer-in-hindustan-style?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=829,https://searchcollection.asianart.org/internal/media/dispatcher/13504/preview,,The Avery Brundage Collection,B60J1+,2026-06-08,1,,
5566,,Ritual vessel (hu),1900-1949,28,Jade And Stones,Jadeite,Jadeite,"H. 10 1/4 in x W. 5 1/8 in x D. 5 1/8 in, H. 26 cm x W. 13.3.cm x D. 13.3 cm",2,China,https://searchcollection.asianart.org/objects/6215/ritual-vessel-hu?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=830,https://searchcollection.asianart.org/internal/media/dispatcher/13612/preview,,The Avery Brundage Collection,B60J21+,2026-06-08,1,,
5567,,Vessel (gong),1900-1949,27,Jade And Stones,Hetian nephrite,Qing dynasty (1644-1911) or Republic period (1912-1949); Hetian nephrite,"H. 8 1/2 in x W. 3 in x D. 5 1/2 in, H. 21.6 cm x W. 7.6 cm x D. 14 cm",2,China,https://searchcollection.asianart.org/objects/6216/vessel-gong?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=831,https://searchcollection.asianart.org/internal/media/dispatcher/13613/preview,,The Avery Brundage Collection,B60J22,2026-06-08,1,,
5568,,Openwork perfumer in Hindustan style,1900-1911,27,Jade And Stones,Nephrite and turquoise,Qing dynasty (1644-1911); Nephrite and turquoise,"H. 8 1/2 in x W. 9 1/2 in x D. 5 5/8 in, H. 21.6 cm x W. 24.1 cm x D. 14.3 cm",2,China,https://searchcollection.asianart.org/objects/6228/openwork-perfumer-in-hindustan-style?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=832,https://searchcollection.asianart.org/internal/media/dispatcher/13506/preview,,The Avery Brundage Collection,B60J2+,2026-06-08,1,,
5569,,Openwork perfumer in Hindustan style,1900-1911,27,Jade And Stones,Nephrite and turquoise,Qing dynasty (1644-1911); Nephrite and turquoise,"H. 8 1/2 in x W. 9 1/2 in x D. 5 5/8 in, H. 21.6 cm x W. 24.1 cm x D. 14.3 cm",2,China,https://searchcollection.asianart.org/objects/6229/openwork-perfumer-in-hindustan-style?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=833,https://searchcollection.asianart.org/internal/media/dispatcher/13511/preview,,The Avery Brundage Collection,B60J3+,2026-06-08,1,,
5570,,Rhyton with dragons,1800s,27,Jade And Stones,Nephrite,Qing dynasty (1644-1911); Nephrite,"H. 6 1/2 in x W. 6 1/2 in x D. 2 1/2 in, H. 16.5 cm x W. 16.5 cm x D. 6.4 cm",2,China,https://searchcollection.asianart.org/objects/6243/rhyton-with-dragons?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=835,https://searchcollection.asianart.org/internal/media/dispatcher/13704/preview,,The Avery Brundage Collection,B60J51,2026-06-08,1,,
